look_back,lstm_units,lstm_activation,lstm_recurrent_activation,epochs,mae,rmse
8,200,tanh,sigmoid,500,401.092611,601.352240
8,100,tanh,sigmoid,500,410.312093,606.940896
4,200,tanh,relu,500,421.339273,610.055863
4,100,tanh,relu,500,419.383286,612.825378
4,200,tanh,sigmoid,500,409.981358,613.838608
8,100,tanh,relu,500,417.585289,618.627261
4,100,relu,sigmoid,500,420.280239,619.942328
4,100,relu,sigmoid,250,420.984447,620.536948
4,100,tanh,sigmoid,500,436.615752,620.628712
8,100,tanh,relu,250,439.757518,622.689574
8,200,tanh,relu,250,427.503190,623.418456
4,200,relu,relu,500,432.262170,628.784515
4,200,relu,sigmoid,500,442.239512,639.402578
8,100,relu,sigmoid,500,454.578796,641.935600
8,100,tanh,sigmoid,250,448.860853,642.314431
4,200,tanh,relu,250,459.364682,644.138956
8,200,tanh,sigmoid,250,457.278605,645.301952
8,200,relu,sigmoid,500,432.114325,651.007623
4,100,tanh,sigmoid,250,453.193446,651.021248
8,200,relu,sigmoid,250,461.565955,654.482970
8,200,tanh,relu,500,450.230763,655.412910
4,100,tanh,relu,250,514.532070,684.257687
8,100,relu,sigmoid,250,511.769533,705.859358
8,200,relu,relu,250,470.968092,711.714355
4,200,tanh,relu,50,468.738131,713.035400
4,200,tanh,sigmoid,250,532.364885,715.747926
8,100,relu,relu,250,536.228392,715.773213
4,200,relu,sigmoid,250,563.138777,721.168006
8,200,tanh,relu,50,509.276499,733.020542
4,100,tanh,relu,50,514.169406,743.813612
4,100,relu,relu,500,492.218976,765.619173
4,200,relu,sigmoid,50,545.712142,777.804676
8,200,relu,sigmoid,50,554.439648,785.244668
4,100,relu,sigmoid,50,560.177124,795.872491
8,100,tanh,relu,50,584.036044,803.049872
8,200,relu,relu,500,552.905902,811.289860
4,200,tanh,sigmoid,50,583.472214,830.231817
4,100,tanh,sigmoid,50,593.854419,836.275477
4,100,relu,relu,250,537.622111,844.631663
8,100,tanh,sigmoid,50,633.578396,912.646974
4,200,relu,relu,250,626.814362,923.440726
8,200,tanh,sigmoid,50,662.077869,924.521018
8,100,relu,sigmoid,50,667.994092,953.011242
8,100,relu,relu,500,607.813132,1078.866768
8,200,relu,relu,50,795.916647,1320.531776
4,200,relu,relu,50,761.905767,1458.526698
4,100,relu,relu,50,787.072703,1499.900199
8,100,relu,relu,50,2506.340771,7831.261189
